CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Tess Fremont-cote,Senior Advisor,2021-05-14,2021-05-14,1,Tess Fremont-Cote
Tess Mc Manus,"Director, Strategic Planning and Appointments",2021-03-16,2021-03-16,1,Tess Mc Manus
Tess Menges,Manager,2024-04-09,2024-04-09,1,Tess Menges
Tess Sliwinski,Manager | Senior Policy Advisor,2018-09-18,2021-12-17,3,Tess Sliwinski
Tess Williams,Policy Advisor,2020-12-18,2020-12-18,1,Tess Williams
Tess Wittman,Policy Analyst,2024-03-26,2024-03-26,1,Tess Wittman
Tessa Ritter,Chief of Staff,2019-05-22,2019-05-22,1,Tessa Ritter
Tessica Truong,Intern,2020-08-04,2020-08-04,1,Tessica Truong
Tessier Benoit,Director,2013-01-24,2013-01-24,1,Tessier Benoit
Testing Testing,Testing,2008-11-12,2008-11-12,1,Testing Testing
Tetyana Belitska,Senior Policy Analyst,2023-07-05,2023-07-05,1,Tetyana  Belitska 
Thad Newman,"Specialist Supervisor, Credit Risk",2016-07-21,2016-07-21,1,Thad Newman
Thanh Hai Ngo,Senator,2013-03-05,2019-12-09,14,"Than Hai Ngo, Thanh Hai Ngo, Thanh Ngo"
Tharani Rameswaran,Constituency Assistant,2021-05-20,2023-02-17,4,Tharani Rameswaran
Theberge Marie-chantal,Learning Advisor,2010-03-31,2010-03-31,1,Théberge Marie-Chantal
Thierry Spiess,Policy Advisor,2018-04-04,2023-03-01,13,"Theirry Spiess, Thierry Spiess"
Theis Rick,Policy Advisor,2019-04-05,2019-04-05,1,Theis Rick
Theo Barrere,Cultural Attaché,2019-05-17,2019-05-17,1,Theo Barrere
